width,height,position.x,position.y,color_r,color_g,color_b,color_a,type_oval,type_rectangle,type_shapePath,type_symbolInstance,type_text,type_bitmap,type_triangle,type_slice,type_group,type_polygon,type_star,Cluster
1.0,0.7522123893805309,0.5163776493256262,0.6574746008708273,0.11372549,0.11372549,0.15686275,1.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.9572953736654805,0.16814159292035397,0.5048169556840076,0.6937590711175617,0.18039216,0.8352941,0.4509804,1.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
1.0,1.0,0.5163776493256262,0.46298984034833085,0.11372549,0.11372549,0.15686275,1.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
1.0,0.7522123893805309,0.5163776493256262,0.30914368650217705,0.11372549,0.11372549,0.15686275,1.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.9359430604982206,0.16814159292035397,0.5048169556840076,0.3454281567489114,1.0,0.2784314,0.34117648,1.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.3736654804270463,0.16814159292035397,0.7726396917148362,0.23222060957910012,1.0,0.64705884,0.007843138,1.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.021352313167259787,0.061946902654867256,0.653179190751445,0.03918722786647315,0.18039216,0.8352941,0.4509804,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.9572953736654805,0.13761467889908258,0.5048169556840076,0.6937590711175617,0.18039216,0.8352941,0.4509804,1.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.9359430604982206,0.13761467889908258,0.5048169556840076,0.3454281567489114,1.0,0.2784314,0.34117648,1.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.3736654804270463,0.13761467889908258,0.7726396917148362,0.23222060957910012,1.0,0.64705884,0.007843138,1.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
0.021352313167259787,0.027522935779816515,0.653179190751445,0.03918722786647315,0.18039216,0.8352941,0.4509804,1.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1
