width,height,position.x,position.y,Cluster
0.1494661921708185,0.3805309734513274,0.3853564547206165,0.9767779390420901,0
0.06761565836298931,0.1238938053097345,0.40462427745664736,0.9985486211901307,0
0.4483985765124555,0.3805309734513274,0.5780346820809248,0.9767779390420901,0
0.03558718861209965,0.1415929203539823,0.6339113680154143,0.9985486211901307,0
0.03558718861209965,0.1415929203539823,0.6107899807321773,0.9941944847605226,0
0.16370106761565836,0.09734513274336283,0.6897880539499036,1.0,0
0.1494661921708185,0.3805309734513274,0.9306358381502889,0.9767779390420901,0
0.06405693950177935,0.16814159292035397,0.953757225433526,0.9941944847605226,0
0.1494661921708185,0.3805309734513274,0.3853564547206165,0.8113207547169812,0
0.0498220640569395,0.09734513274336283,0.4123314065510597,0.8345428156748912,0
0.0498220640569395,0.1327433628318584,0.5163776493256262,0.8548621190130624,0
0.014234875444839859,0.035398230088495575,0.5260115606936416,0.8621190130624093,0
0.22419928825622773,0.11504424778761062,0.5645472061657033,0.8577648766328012,0
0.0498220640569395,0.1327433628318584,0.7263969171483622,0.8548621190130624,0
0.014234875444839859,0.035398230088495575,0.7360308285163777,0.8635703918722787,0
0.2277580071174377,0.11504424778761062,0.7726396917148362,0.8577648766328012,0
0.18505338078291814,0.09734513274336283,0.5183044315992292,0.818577648766328,0
1.0,0.7522123893805309,0.5163776493256262,0.6574746008708273,0
0.9572953736654805,0.16814159292035397,0.5048169556840076,0.6937590711175617,0
0.1494661921708185,0.3805309734513274,0.3853564547206165,0.6574746008708273,0
0.0498220640569395,0.09734513274336283,0.4123314065510597,0.6806966618287373,0
0.31316725978647686,0.11504424778761062,0.5183044315992292,0.6647314949201742,0
0.15658362989323843,0.08849557522123894,0.5163776493256262,0.7314949201741655,0
0.1779359430604982,0.08849557522123894,0.6030828516377649,0.7314949201741655,0
0.199288256227758,0.11504424778761062,0.9017341040462428,0.6647314949201742,0
1.0,1.0,0.5163776493256262,0.46298984034833085,0
0.1494661921708185,0.3805309734513274,0.3853564547206165,0.46298984034833085,0
0.0498220640569395,0.1327433628318584,0.4123314065510597,0.4833091436865022,0
0.09252669039145907,0.09734513274336283,0.5163776493256262,0.4702467343976778,0
0.16370106761565836,0.07079646017699115,0.5163776493256262,0.5761973875181423,0
0.22419928825622773,0.07964601769911504,0.8227360308285163,0.5761973875181423,0
0.07829181494661921,0.07079646017699115,0.9518304431599229,0.5761973875181423,0
0.9145907473309608,0.30973451327433627,0.5163776493256262,0.5065312046444123,0
0.01779359430604982,0.30088495575221236,0.5163776493256262,0.5079825834542816,0
0.03202846975088968,0.19469026548672563,0.5183044315992292,0.5253991291727141,0
0.03202846975088968,0.23893805309734512,0.5279383429672446,0.5181422351233672,0
0.03202846975088968,0.17699115044247787,0.5375722543352601,0.5283018867924528,0
0.03202846975088968,0.23893805309734512,0.5472061657032755,0.5181422351233672,0
0.03202846975088968,0.16814159292035397,0.5568400770712909,0.5297532656023223,0
