width,height,position.x,position.y,color_r,color_g,color_b,color_a,type_oval,type_rectangle,type_shapePath,type_symbolInstance,type_text,Cluster
0.06049822064056939,0.17699115044247787,0.1445086705202312,0.5341074020319304,0.11764706,0.5647059,1.0,1,0,1,0,0,0,0
0.06049822064056939,0.16814159292035397,0.4335260115606936,0.5355587808417998,0.11764706,0.5647059,1.0,1,0,1,0,0,0,0
0.06049822064056939,0.2743362831858407,0.009633911368015391,0.5181422351233672,0.11764706,0.5647059,1.0,1,0,1,0,0,0,0
0.06049822064056939,0.20353982300884954,0.30828516377649323,0.5297532656023223,0.11764706,0.5647059,1.0,1,0,1,0,0,0,0
0.03202846975088968,0.09734513274336283,0.8554913294797688,0.5413642960812772,0.11764706,0.5647059,1.0,1,0,1,0,0,0,0
0.03202846975088968,0.1238938053097345,0.7206165703275529,0.5370101596516691,0.11764706,0.5647059,1.0,1,0,1,0,0,0,0
0.1494661921708185,0.3805309734513274,0.3853564547206165,0.46298984034833085,1.0,1.0,1.0,1,0,1,0,0,0,1
0.0498220640569395,0.1327433628318584,0.4123314065510597,0.32946298984034833,0.0,0.0,0.0,0,0,0,0,1,0,-1
0.03202846975088968,0.1327433628318584,0.9614643545279383,0.5355587808417998,0.11764706,0.5647059,1.0,1,0,1,0,0,0,0
0.03202846975088968,0.07964601769911504,0.76878612716763,0.544267053701016,0.11764706,0.5647059,1.0,1,0,1,0,0,0,0
0.03202846975088968,0.17699115044247787,0.5375722543352601,0.5283018867924528,0.11764706,0.5647059,1.0,1,0,1,0,0,0,0
0.06049822064056939,0.21238938053097345,0.45279383429672443,0.5283018867924528,0.11764706,0.5647059,1.0,1,0,1,0,0,0,0
0.15658362989323843,0.08849557522123894,0.5163776493256262,0.7314949201741655,0.0,0.0,0.0,0,0,0,0,0,1,2
0.03202846975088968,0.1238938053097345,0.7591522157996147,0.5370101596516691,0.11764706,0.5647059,1.0,1,0,1,0,0,0,0
0.06049822064056939,0.3185840707964602,0.03853564547206162,0.5108853410740204,0.11764706,0.5647059,1.0,1,0,1,0,0,0,0
0.014234875444839859,0.035398230088495575,0.5260115606936416,0.8621190130624093,1.0,1.0,1.0,1,0,0,1,0,0,-1
0.26334519572953735,0.16814159292035397,0.5048169556840076,0.23222060957910012,0.18039216,0.8352941,0.4509804,1,0,1,0,0,0,-1
0.03202846975088968,0.11504424778761062,0.8651252408477842,0.5384615384615385,0.11764706,0.5647059,1.0,1,0,1,0,0,0,0
0.06049822064056939,0.15929203539823006,0.40462427745664736,0.5370101596516691,0.11764706,0.5647059,1.0,1,0,1,0,0,0,0
0.0498220640569395,0.1327433628318584,0.4123314065510597,0.4833091436865022,0.0,0.0,0.0,0,0,0,0,1,0,-1
0.03202846975088968,0.24778761061946902,0.9903660886319846,0.5166908563134979,0.11764706,0.5647059,1.0,1,0,1,0,0,0,0
0.4199288256227758,0.061946902654867256,0.7842003853564548,0.239477503628447,1.0,1.0,1.0,1,0,1,0,0,0,1
0.03202846975088968,0.11504424778761062,0.5857418111753372,0.5384615384615385,0.11764706,0.5647059,1.0,1,0,1,0,0,0,0
