width,height,position.x,position.y,color_r,color_g,color_b,color_a,type_oval,type_rectangle,type_shapePath,type_symbolInstance,type_text,Cluster
0.0498220640569395,0.1327433628318584,0.4123314065510597,0.32946298984034833,0.0,0.0,0.0,0,0,0,0,1,0,-1
0.014234875444839859,0.035398230088495575,0.5260115606936416,0.8621190130624093,1.0,1.0,1.0,1,0,0,1,0,0,-1
0.26334519572953735,0.16814159292035397,0.5048169556840076,0.23222060957910012,0.18039216,0.8352941,0.4509804,1,0,1,0,0,0,-1
0.0498220640569395,0.1327433628318584,0.4123314065510597,0.4833091436865022,0.0,0.0,0.0,0,0,0,0,1,0,-1
0.03558718861209965,0.1415929203539823,0.6107899807321773,0.9941944847605226,1.0,1.0,1.0,1,0,0,1,0,0,-1
0.9145907473309608,0.30973451327433627,0.5163776493256262,0.5065312046444123,0.84705883,0.84705883,0.84705883,1,0,1,0,0,0,-1
0.9359430604982206,0.16814159292035397,0.5048169556840076,0.3454281567489114,1.0,0.2784314,0.34117648,1,0,1,0,0,0,-1
0.0498220640569395,0.1327433628318584,0.5163776493256262,0.8548621190130624,0.18039216,0.8352941,0.4509804,1,1,0,0,0,0,-1
0.1494661921708185,0.3805309734513274,0.3853564547206165,0.9767779390420901,0.16862746,0.16862746,0.23921569,1,1,0,0,0,0,-1
1.0,1.0,0.5163776493256262,0.46298984034833085,0.11372549,0.11372549,0.15686275,1,0,1,0,0,0,-1
0.06405693950177935,0.16814159292035397,0.953757225433526,0.9941944847605226,0.0,0.0,0.0,0,0,0,0,1,0,-1
1.0,0.0,0.5163776493256262,0.27866473149492016,0.11372549,0.11372549,0.15686275,1,0,1,0,0,0,-1
0.0498220640569395,0.1327433628318584,0.7263969171483622,0.8548621190130624,0.11764706,0.5647059,1.0,1,1,0,0,0,0,-1
0.03558718861209965,0.1415929203539823,0.6339113680154143,0.9985486211901307,1.0,1.0,1.0,1,0,0,1,0,0,-1
1.0,0.7522123893805309,0.5163776493256262,0.6574746008708273,0.11372549,0.11372549,0.15686275,1,0,1,0,0,0,-1
0.1494661921708185,0.3805309734513274,0.9306358381502889,0.9767779390420901,0.16862746,0.16862746,0.23921569,1,1,0,0,0,0,-1
0.4483985765124555,0.3805309734513274,0.5780346820809248,0.9767779390420901,1.0,1.0,1.0,1,0,1,0,0,0,-1
0.028469750889679714,0.04424778761061947,0.8535645472061657,0.007256894049346874,0.0,0.0,0.0,0,0,0,0,1,0,-1
0.0498220640569395,0.11504424778761062,0.4123314065510597,0.1393323657474601,0.0,0.0,0.0,0,0,0,0,1,0,-1
0.3736654804270463,0.16814159292035397,0.7726396917148362,0.23222060957910012,1.0,0.64705884,0.007843138,1,0,1,0,0,0,-1
0.06761565836298931,0.1238938053097345,0.40462427745664736,0.9985486211901307,0.0,0.0,0.0,0,0,0,0,1,0,-1
1.0,0.7522123893805309,0.5163776493256262,0.30914368650217705,0.11372549,0.11372549,0.15686275,1,0,1,0,0,0,-1
0.021352313167259787,0.061946902654867256,0.653179190751445,0.03918722786647315,0.18039216,0.8352941,0.4509804,1,1,0,0,0,0,-1
0.0498220640569395,0.09734513274336283,0.4123314065510597,0.6806966618287373,0.0,0.0,0.0,0,0,0,0,1,0,-1
0.014234875444839859,0.035398230088495575,0.7360308285163777,0.8635703918722787,1.0,1.0,1.0,1,0,0,1,0,0,-1
